,Alun-Alun Cilacap,BPBD Kabupaten Cilacap,SMP N 1 Cilacap,Politeknik Negeri Cilacap,RSUD Cilacap,Akbid Graha Mandiri,Asrama Putri Stikes Al-Irsyad ,DPRD Kabupaten Cilacap,Rusunawa,AMN Cilacap,RSI Fatimah,Badan Diklat Arsip dan Perpusd,SMP Pius Cilacap,SMP Negeri 3 Cilacap,SMP Purnama 1 Cilacap,SMP Purnama 2 Cilacap,Masjid Al-Jihad,SMA Negeri 1 Cilacap,RSU Santa Maria Cilacap,Kelurahan Mertasinga,Gedung Golkar,SMA Sri Mukti Cilacap,SMP Muhammadiyah 1,SMP Muhammadiyah 2,SMP PGRI 1 Cilacap,SMP Negeri 8 Cilacap,SMK YPE Cilacap,SMP Negeri 4 Cilacap,SMP Negeri 6 Cilacap,SD Negeri Tegalreja 01,SMA Al-Irsyad Cilacap,SD Negeri Tegalreja 02,Masjid Agung Darussalam,Hotel 3 Intan,Hotel Mutiara,PMI Cilacap,SMA Yos Sudarso,Rumah Sakit Aprilia,Desa Panulisan Barat ,Balai Desa Panulisan,Balai Desa Panulisan Timur,Balai Desa Karangrena,Balai Desa Maos Kidul,Balai Desa Maos Lor,Balai Desa Kalijaran,Balai Desa Mernek,Balai Desa Penisihan,Balai Desa Glempang,Balai Desa Paketingan,Balai Desa Ketanggung,Desa Nusajati,Balai Desa Paberasan,Balai Desa Karangjati,Balai Desa Sidasari,Balai Desa Karangasem,Balai Desa Sampang,Balai Desa Karangtengah,Balai Desa Brani,Desa Sikampuh ,Balai Desa Karangturi,Balai Desa Ayamalas,Balai Desa Karangmangu,Balai Desa Pucung Kidul,Balai Desa Mergawati,Balai Desa Pucung Lor,Balai Desa Bajing,Balai Desa Kroya,Balai Desa Pesanggrahan,Balai Desa Pekuncen,Balai Desa Bajing Kulon,Desa Karangasem,Balai Desa Mujur,Desa Gentasari,Balai Desa Mujur Lor,Desa Buntu,Balai Desa Widarapayung Kulon,Balai Desa Sidayu,Balai Desa Widarapayung Wetan,Balai Desa Sidaurip,Balai Desa Pagubugan Kulon,Balai Desa Pagubugan,Balai Desa Karangnangka,Balai Desa Kemojing,Balai Desa Pesawahan,Balai Desa Pasuruhan,Balai Desa Alangamba,Balai Desa Binangun,Balai Desa Bangkal,Balai Desa Jepara Wetan,Balai Desa Jepara Kulon,Balai Desa Kepudang,Balai Desa Jati,Balai Desa Karangtawang,Balai Desa Karangpakis,Balai Desa Banjarsari,Balai Desa Jetis,Desa Banjareja,Desa Kedungbenda,Desa Klumprit,Balai Desa Karangsembung,Balai Desa Purwadadi,Balai Desa Nusawangkal,Balai Desa Karangputat,Balai Desa Banjarwaru,Balai Desa Danasri,Balai Desa Danasri Kidul,Desa Nusawungu,Balai Desa Danasri Lor,Balai Desa Sikanco,kelurahan Tambakreja,Kelurahan Tegalreja,Kelurahan Sidakaya,Kelurahan Cilacap,Kelurahan Tegalkamulyan,Kelurahan Kutawaru,Kelurahan Lomanis,Kelurahan Donan,Kelurahan Sidanegara,Kelurahan Gunungsimping,Kelurahan Kebonmanis,Kelurahan Gumilir,Kelurahan Tritih Kulon,Kelurahan Karangtalun,Balai Desa Kawunganten,Balai Desa Kawunganten Lor,Balai Desa Sarwadadi,Desa Kalijeruk,Desa Mentasan,Balai Desa Sidaurip,Balai Desa Babakan,Balai Desa Ujunggagak,Balai Desa Klaces,Balai Desa Panikel,Balai Desa Tritih Wetan,Balai Desa Sumingkir,Balai Desa Jeruklegi Wetan,Balai Desa Jeruklegi Kulon,Balai Desa Sawangan,Balai Desa Cilibang,Balai Desa Mandala,Balai Desa Karangkemiri,Balai Desa Jambusari,Balai Desa Prapagan,Balai Desa Citepus,Balai Desa Menganti,Desa Karangkandri,Balai Desa Slarang,Desa Kesugihan Kidul,Balai Desa Kesugihan,Balai Desa Kalisabuk,Balai Desa Kuripan Kidul,Balai Desa Kuripan,Desa Jengrana,Balai Desa Planjan,Balai Desa Dondong,Balai Desa Ciwuni,Balai Desa Karangjengkol,Balai Desa Keleng,Balai Desa Pesanggrahan,Balai Desa Bulupayung,Balai Desa Gombolharjo,Balai Desa Wlahar,Balai Desa Karanganyar,Balai Desa Pedasong,Balai Desa Glempangpasir,Balai Desa Welahan Wetan,Balai Desa Adireja Wetan,Balai Desa Adireja Kulon,Balai Desa Adipala,Balai Desa Penggalang,Balai Desa Karangsari,Balai Desa Kalikudi,Balai Desa Doplang,Balai Desa Karangkemiri,Balai Desa Karangreja,Balai Desa Klapagada,Balai Desa Pengawaren,Balai Desa Gunungtelu,Balai Desa Sindangbarang,Balai Desa Karangpucung,Balai Desa Tayemtimur,Balai Desa Tayem,Balai Desa Ciporos,Balai Desa Surusunda,Balai Desa Bengbulang,Balai Desa Sidamulya,Balai Desa Ciruyung,Balai Desa Pamulihan,Balai Desa Babakan,Balai Desa Serang,Balai Desa Mulyadadi,Balai Desa Cipari,Balai Desa Segaralangu,Balai Desa Karangreja,Balai Desa Kutasari,Balai Desa Pegadingan,Balai Desa Cisuru,Desa Mekarsari,Desa Sidasari,Balai Desa Caruy,Desa Tegalsari,Balai Desa Margasari,Balai Desa Tinggarjaya,Balai Desa Gunungreja,Balai Desa Sidareja,Balai Desa Sidamulya,Balai Desa Sudagaran,Balai Desa Kunci,Balai Desa Karanggedang,Balai Desa Penyarang,Balai Desa Sidanegara,Balai Desa Kaliwungu,Balai Desa Bumireja,Balai Desa Jatisari,Balai Desa Ciklapa,Balai Desa Bangunreja,Balai Desa Kedungreja,Balai Desa Tambaksari,Balai Desa Rejamulya,Balai Desa Bojongsari,Balai Desa Rawaapu,Balai Desa Sidamukti,Desa Purwodadi,Desa Cimrutu,Balai Desa Patimuan,Balai Desa Cinyawang,Desa Bulupayung,Balai Desa Cisumur,Balai Desa Sidaurip,Balai Desa Gintungreja,Balai Desa Layansari,Balai Desa Gandrungmanis,Balai Desa Bulusari,Balai Desa Gandrungmangu,Balai Desa Wringinharjo,Balai Desa Karanganyar,Balai Desa Muktisari,Balai Desa Kertajaya,Balai Desa Cinangsi,Balai Desa Karanggintung,Balai Desa Rungkang,Balai Desa Bantarsari,Balai Desa Rawajaya,Balai Desa Binangun,Balai Desa Bulaksari,Balai Desa Kamulyan,Balai Desa Cikedondong,Balai Desa Kedungwadas,Desa Grugu,Desa Ujungmanik,Balai Desa Kubangkangkung,Desa Bojong,Balai Desa Cidadap,Balai Desa Matenggeng,Balai Desa Ciwalen,Balai Desa Dayeuhluhur,Balai Desa Hanum,Balai Desa Datar,Balai Desa Bingkeng,Balai Desa Bolang,Balai Desa Kutaagung,Balai Desa Cijeruk,Balai Desa Cilumping,Balai Desa Sumpinghayu,Balai Desa Purwasari,Balai Desa Cilongkrang,Balai Desa Tarisi,Balai Desa Bantar,Balai Desa Adimulya,Balai Desa Wanareja,Balai Desa Madura,Balai Desa Madusari,Balai Desa Majingklak,Balai Desa Malabar,Balai Desa Limbangan,Balai Desa Cigantung,Balai Desa Palugon,Balai Desa Jambu,Balai Desa Pahonjean,Balai Desa Mulyadadi,Balai Desa Mulyasari,Balai Desa Padangsari,Balai Desa Cilopadang,Desa Padangjaya,Balai Desa Sindangsari,Balai Desa Jenang,Balai Desa Salebu,Balai Desa Cibeunying,Balai Desa Sepatnunggal,Balai Desa Bener,Balai Desa Boja,Balai Desa Ujungbarang,Balai Desa Pengadegan,Balai Desa Sadabumi,Balai Desa Sadahayu,Balai Desa Karangreja,Balai Desa Cimanggu,Balai Desa Bantarpanjang,Balai Desa Panimbang,Desa Mandala,Balai Desa Bantarmangu,Balai Desa Cilempuyang,Balai Desa Rejodadi,Balai Desa Negarajati,Balai Desa Cisalak,Desa Cibalung,Balai Desa Karangsari,Balai Desa Kutabima,Balai Desa Pesahangan,Balai Desa Cijati,Desa Bulupayung,Balai Desa Bunton,Desa Karangbenda,Balai Desa Adiraja,Balai Desa Tritih Lor,Desa Brebeg,Desa Dayeluhur,Desa Bingkeng,Desa Cilongkrang,Desa Purwasari,Desa Tarisi,Desa Adimulya,Desa Madura,Desa Wanareja,Desa Sidamulya,Desa Bantar,Desa Pahonjean ,Desa Cilopadang,Desa Sindangsari,Desa Mulyadadi,Desa Bener,Desa Boja,Desa Mulyasari,Desa Panimbang,Desa Bantarmangu,Desa Cimanggu,Desa Bantarpanjang,Desa Cilempuyang,Desa Karangreja,Desa Rejodadi,Desa Pengaweran,Desa Karangpucung,Desa Patimuan ,Desa Sidamukti,Desa Tambakreja,Desa Bumireja,Desa Ciklapa,Desa Tambaksari,Desa Kaliwungu,Desa Jatisari,Desa Caruy,Desa Cisuru,Desa Serang,Desa Mulyadadi,Desa Kutasari,Desa Tinggarjaya,Desa Sidareja,Desa Margasari,Desa Gunungreja,Desa Sudagaran,Desa Gandrungmangu,Desa Gandrungmanis,Desa Cisumur,Desa Binagun ,Desa Bantarsari,Desa Rawajaya,Desa Bulaksari,Desa Bringkeng,Desa Kawunganten ,Desa Kawunganten Lor,Desa Babakan,Desa Panikel,Desa Ujunggagak,Desa Klaces,Desa Ujungalang,Desa Cilibang,Desa Slarang,Desa Kesugihan,Desa Kalisabuk ,Desa Dondong,Desa Ciwuni,Desa Karangjengkol,Desa Keleng,Desa Pesanggrahan,Desa Kuripan Kidul,Desa Karangrena,Desa Panisihan,Desa Karangreja,Desa Karangtengah,Desa Sampang,Desa Karangjati,Desa Paberasan,Desa Kedawung,Desa Mujur,Desa Mujur Lor,Desa Purwodadi,Desa Karangsembung,Desa Nusawengkal,Desa Wlahar,Desa Penggalang,Desa Adipala,Desa Adireja Kulon,Desa Adireja Wetan,Desa Adiraja,Desa Karang Sari,Kelurahan Kutawaru,Kelurahan Donan,Kelurahan Sidanegara,Kelurahan Gunungsimping,Kelurahan Cilacap,Kelurahan Tambakreja,Kelurahan Tegalkamulyan
Alun-Alun Cilacap,0.0,1102.1747356415306,1203.645281239472,1924.927587388855,1627.4636274949598,736.3026929827851,2666.5390480132073,360.43438251544677,1624.5299505943954,3304.382548084156,4808.569309081794,496.2908142742997,940.3176751030535,923.7024067044862,1314.9389336851496,833.767738536004,6900.167963757461,1942.6289918922573,950.6032203475391,9406.056780604556,561.7442622211436,3046.0710455899525,1148.594663651279,6463.826907076181,6635.397739387976,173.92946220670723,852.094278969627,2483.375045079158,2097.299881447616,1794.1739906386194,646.6610104602148,4974.481891477205,73.98474299040389,1652.0511847120983,2626.4796005125017,7293.793529122003,718.7564200246295,2084.2646536561992,87397.43138262164,86531.02065602591,85772.3193485526,22700.58247495879,23567.223056880302,25152.36652841366,26280.1518671915,25925.978593217114,26541.94917945168,28002.803258488442,30075.749693329868,28282.411289931326,28870.193139888666,32189.305723306526,31868.421849013685,31184.55283161989,32555.54080465959,32245.69430485589,30679.697176354945,30807.790102100786,25750.37451623369,29106.27419810783,31328.05454215523,31519.766253093585,33425.58529941689,35404.17399370092,22559.270558669425,31871.235593492194,30494.964766294914,48010.50943968081,27856.160562311998,30410.048139395236,43576.636314822055,33243.37997497661,29506.47745925488,32258.2795240953,34253.99055343909,31063.446862691417,31515.17684238832,32741.74102742075,41751.639530537344,37219.48386653869,38265.42757017181,39404.72326491528,37609.21407584339,36591.752887455885,35425.78756898291,33884.53647809132,32778.45318657217,33133.86169451231,31130.43187334919,29928.91767206681,27416.194925727064,25928.357369547663,39800.06187691612,41291.70072914666,43375.57116592543,45763.09258117269,45803.428784188785,45681.95828146508,43882.85014848838,43690.699014954516,42076.334239845426,42269.60990223535,38460.421298817506,35392.23768543579,37951.1147784411,39319.96076043802,41666.367587057175,37591.609381689916,36443.79911001555,48029.15266406643,1893.4866441447155,1361.6594432324214,1964.7777321874257,2369.7757633226224,30419.136863556072,4089.0275168894987,2789.255081453075,2262.6252801212986,4015.4638161581447,4530.748767104105,6432.699188155452,7562.089996622252,6054.075026768715,28999.554765737317,29918.130637441784,31120.812585162075,27008.033882213385,24300.27634272723,20000.43796797881,29807.18887365752,42685.88990371714,42506.71031256173,37189.90218269557,9244.467513234213,14309.542394947744,15437.505354733608,17301.106833841055,20303.063540049967,20798.64429378898,17463.21024613828,20939.142488331952,22371.00188242512,23048.94892648887,25491.918201145036,10099.83358067123,11771.917929821786,14856.524979991775,19041.639367652257,20318.103624328378,13386.08096237141,11824.294183580414,12937.142992401916,13454.547770890196,16146.107073537029,17696.013115231024,18357.045397809386,19499.066604606825,21433.2706298632,21767.626671634207,24054.318531445937,14973.826448365713,18802.576743048587,20929.297125019424,24792.071574162113,24594.625333412565,29025.82583822262,20927.530282128377,20019.84440094579,19615.685546447112,17863.727024572763,20169.476270774376,21699.612580341105,22888.198014267633,67259.48527925856,22340.02904812038,22539.1105304928,58216.03076053673,53149.482618184775,50533.66744349676,53354.96678491399,54492.2456179565,54938.09188453846,57856.16531153542,58095.08995722809,61508.3379505417,66676.35024512524,62657.5481531541,68740.71608935192,61625.64919987384,54027.31127932976,55965.967672695915,55140.478039302856,53915.33918225877,56271.312453072744,59007.758468658525,60092.59265518947,61023.62110061898,61712.2495789462,61446.96079444288,61702.335341923455,50869.270947243094,54219.73643056567,51689.32990748261,50008.62544894811,49077.0625657751,74275.74880184946,46907.80859213905,48863.99815865099,48897.05533976212,52558.812816748345,53098.78754984379,1631.8392489623732,46173.99400119858,48178.298470526264,48255.01330903634,51558.6486924796,50719.25618361981,83459.741463304,55362.890558784995,57624.54972598849,61151.86784411233,57278.30985766347,56063.48935237812,61221.176202026356,54012.637466861794,51802.50297054479,24207.54835072902,44167.59901709933,41687.71129196933,36664.26810197297,39150.92397161187,40125.662136807536,42053.22844189975,42800.0719946989,46314.51130939447,46301.24270488814,42531.181093538486,43842.20227386247,46937.88168386927,49514.46568237994,51890.10816200802,38248.86580596934,35682.0882238646,33119.44422816398,37493.18596242944,39607.80108105983,42731.94153673752,46294.18115587777,30555.102342627953,26257.014021163828,24523.467119458877,26980.663282170244,61680.87858324022,86626.50263453639,84095.86607624161,86905.00350736958,88892.54186257576,92937.41917900131,90372.29818137658,95818.42565971117,97423.81427868301,95862.5229839516,98484.22379039381,95632.6085299009,58898.46231380489,62222.77886300787,64406.0003189041,69564.48436741384,73197.82297762243,74124.84284469452,78179.52925852031,79059.90853364042,77377.17062149878,79041.97842029789,77972.9501916021,86703.71895331937,87643.76600338887,101893.68159568538,74922.95337939225,74520.42676567302,71263.00890398215,70274.13401915808,70548.7754534874,70249.59975240506,73361.73679627746,73748.87228818012,77907.8189177891,75722.14005733772,80606.99091920024,77824.7432044181,79757.90068855855,82885.05708355899,82691.09521122032,83836.65812469399,84255.08589529668,63550.01920158317,64192.137924216375,61042.198132291735,59638.914831794646,61983.38874769966,63673.99523886823,64586.788011954144,67925.59555007283,72705.39970949561,68428.02375536661,66202.54544248656,66785.71683771406,72532.91107969395,76729.66010124476,76573.91020751644,51294.086832722314,19923.83866350705,22642.04503463358,21263.966938328227,13301.435901957911,19640.685668208083,98396.77078857801,90464.37649474866,61910.6174711102,57857.22131050505,64736.98231193403,73023.2152973633,77978.69261028603,73241.2990074957,47459.42462770539,71611.87523959254,75115.64301154554,70577.58851939406,73471.0458164985,70091.65045792771,76671.78181339025,70758.88269715953,71561.61322713003,59787.62719324911,62552.237885310795,63672.94832828135,60842.689802532346,64670.08551781274,64250.91629816178,67459.25102796083,57285.41926310254,54738.260970150426,54108.92406121723,57215.77725451529,48857.804114812134,45448.56522508275,48439.97111931123,50012.71289565032,46176.87091775794,50014.634496106744,62188.20088499724,65188.24329752816,53046.11380940429,57129.72733690279,59793.81548820927,51791.29853430666,48777.25837290889,52407.955557927235,49977.70042766792,47288.60165830164,40265.65202430372,40188.02173356167,43948.68773034854,33091.406938689295,37314.52214178342,35483.19739135994,37627.047998512004,29036.860829716494,29176.571551498528,29267.369594623324,29558.6360155046,36852.91648925834,42939.10604503289,42144.05143131046,33181.36214654442,21045.694955103692,14828.275855545367,20341.81887590972,13561.982557902274,17184.045472171245,18540.16425539018,19667.91336299041,21628.998763157353,21716.576121112343,11969.1477345285,23723.330035434272,26623.82056370515,22421.307638472335,33079.30042132915,32349.780430814797,34025.454944233425,32130.91783427624,35529.594299068805,33424.44478084092,32585.961098261476,42884.862801680065,44439.47121464993,42404.761608951805,18862.043629976757,17921.758423369072,19798.65535541747,20564.500776553432,20763.142838656793,20730.923117214053,20120.09888593614,30184.065918864813,2303.303324859378,3059.3582863646034,3258.1953219629313,2090.586584408924,827.2760851928736,2393.478961600877
BPBD Kabupaten Cilacap,1110.085488578138,0.0,1209.2785613217668,3004.615378821755,2737.5491160730985,1815.9904844156845,3776.6245365913464,830.2601324457164,2545.4965140110667,4380.975862409624,5885.162623407263,1575.9786057071992,945.9509551853478,1305.4736282170668,2394.626725118049,1357.2965925340682,7978.761971842847,2466.1578458903214,956.2365004298335,10482.650094930023,1671.829750799282,4156.156534168092,1772.9701477818048,7540.4202214016495,7715.085530820875,1284.0149507848455,1931.7820704025266,3563.0628365120583,3173.893195773085,2317.702844636684,1037.5000227284474,5549.8562272573545,1028.1899926511267,1027.1994939214435,3736.565089090641,8372.387537207389,724.389700106924,3160.8579679816685,88474.02469694716,87607.61397035143,86848.91266287812,23779.17648304416,24645.817064965675,26230.96053649903,27358.745875276873,27004.572601302487,27620.543187537052,29081.397266573815,31154.34370141524,29361.0052980167,29948.78714797404,33267.8997313919,32947.01585709905,32263.146839705263,33634.13481274497,33324.288312941266,31758.291184440317,31886.384110186158,26828.96852431906,30184.8682061932,32406.648550240603,32598.360261178957,34504.17930750226,36482.768001786295,23637.864566754797,32949.82960157756,31573.558774380286,49089.1034477662,28934.75457039737,31488.64214748061,44655.230322907446,34321.97398306199,30585.07146734025,33336.873532180674,35332.58456152446,32142.04087077679,32593.77085047369,33820.33503550613,42828.232844862796,38298.07787462408,39344.0215782572,40483.31727300067,38687.80808392878,37670.346895541275,36504.381577068285,34963.130486176684,33855.04650089764,34212.45570259768,32209.02588143456,31007.511680152184,28494.788933812437,27006.951377633035,40878.65588500151,42370.29473723205,44454.16517401082,46841.68658925808,46882.022792274176,46760.55228955047,44961.44415657377,44769.29302303991,43154.92824793082,43348.20391032074,39539.0153069029,36470.83169352117,39029.70878652649,40398.55476852341,42744.961595142566,38670.203389775306,37522.39311810094,49105.74597839188,2759.030728091108,2471.74493181056,1952.9922572669243,3290.7423267392946,31495.730177881534,4664.401852669648,3293.1253757380864,3372.7107686994377,5095.151607591044,5610.436558537004,7511.293196240837,8638.683310947721,6846.647143908928,30076.14808006278,30994.723951767246,32197.405899487538,28084.627196538848,25376.86965705269,21077.031282304273,30883.782187982983,43762.483218042595,43583.30362688718,38266.495497021024,10321.06082755968,15386.135709273212,16514.098669059073,18377.700148166517,21379.65685437543,21875.237608114443,18539.80356046374,22017.736496417325,23447.595196750583,24125.54224081433,26568.511515470498,11178.427588756613,12851.605721254684,15935.118988077154,20120.233375737633,21396.69763241375,14464.67497045679,12902.888191665794,14015.737000487296,14531.141085215664,17224.701081622406,18772.606429556487,19435.639405894755,20577.660612692198,22511.864637948573,22846.22067971958,25132.91253953131,16052.420456451093,19881.17075113396,22007.891133104797,25870.665582247486,25673.219341497937,30104.419846307992,22006.12429021375,21098.43840903116,20694.279554532484,18942.321032658136,21248.07027885975,22778.206588426478,23966.792022353005,68336.07859358408,23418.623056205754,23617.70453857817,59292.62407486218,54226.075932510226,51610.26075782221,54431.56009923944,55568.83893228195,56014.68519886391,58932.75862586087,59171.68327155354,62584.931264867155,67752.94355945077,63734.14146747955,69817.30940367744,62702.24251419929,55103.904593655214,57042.56098702137,56217.07135362831,54991.932496584224,57347.905767398195,60084.35178298398,61169.185969514925,62100.21441494443,62788.84289327165,62523.55410876833,62778.92865624891,51945.864261568546,55296.32974489112,52765.923221808065,51085.21876327356,50153.65588010055,75352.34211617499,47984.4019064645,49940.59147297644,49973.64865408757,53635.406131073796,54175.380864169245,1686.6800966166918,47250.58731552403,49254.891784851716,49331.60662336179,52635.24200680505,51795.84949794526,84536.33477762953,56439.48387311045,58701.14304031394,62228.46115843778,58354.903171988924,57140.08266670357,62297.76951635181,55089.230781187245,52879.09628487024,25286.14235881439,45244.19233142478,42764.30460629478,37740.86141629842,40227.51728593732,41202.25545113299,43129.8217562252,43876.66530902435,47391.10462371992,47377.836019213595,43607.77440786394,44918.795588187924,48014.474998194724,50591.05899670539,52966.701476333474,39325.45912029479,36758.68153819005,34198.038236249355,38569.77927675489,40684.39439538528,43808.53485106297,47370.77447020322,31631.695656953416,27333.60733548929,25600.06043378434,28057.256596495707,62757.47189756567,87703.09594886191,85172.45939056714,87981.5968216951,89969.13517690128,94014.01249332684,91448.8914957021,96895.01897403669,98500.40759300854,96939.11629827712,99560.81710471933,96709.20184422642,59975.05562813034,63299.37217733332,65482.59363322955,70641.07768173936,74274.41629194796,75201.43615902004,79256.12257284584,80136.50184796595,78453.7639358243,80118.57173462342,79049.54350592762,87780.3122676449,88720.35931771439,102970.2749100109,75999.54669371777,75597.02007999855,72339.60221830767,71350.7273334836,71625.36876781292,71326.19306673059,74438.33011060298,74825.46560250565,78984.41223211463,76798.73337166324,81683.58423352576,78901.33651874363,80834.49400288408,83961.65039788451,83767.68852554585,84913.25143901951,85331.6792096222,64626.61251590862,65268.731238541826,62118.791446617186,60715.5081461201,63059.98206202511,64750.58855319368,65663.38132627959,69002.18886439835,73781.99302382114,69504.61706969213,67279.13875681207,67862.31015203959,73609.50439401947,77806.25341557029,77650.50352184197,52370.680147047766,21002.43267159242,23720.63904271895,22342.5609464136,14378.029216283378,20717.278982533546,99473.36410290354,91540.96980907419,62987.21078543565,58933.8146248305,65813.57562625948,74099.80861168883,79055.28592461155,74317.89232182123,48536.01794203084,72688.46855391806,76192.23632587107,71654.18183371959,74547.63913082403,71168.24377225323,77748.37512771577,71835.47601148505,72638.20654145555,60864.22050757456,63628.831199636246,64749.541642606804,61919.2831168578,65746.67883213819,65327.50961248723,68535.84434228635,58362.012577427995,55814.85428447588,55185.51737554268,58292.37056884074,49934.397429137585,46525.1585394082,49516.56443363668,51089.30620997577,47253.46423208339,51091.227810432196,63264.79419932269,66264.8366118536,54122.70712372974,58206.32065122824,60870.40880253472,52867.89184863211,49853.85168723434,53484.548872252686,51054.29374199337,48365.19497262709,41342.245338629175,41264.61504788712,45025.28104467399,34168.00025301476,38391.11545610887,36559.790705685395,38703.641312837455,30113.454144041956,30253.16486582399,30343.962908948786,30635.22932983006,37929.509803583795,44015.69935935834,43220.64474563591,34257.95546086989,22122.288269429155,15906.869863630747,21420.412883995094,14640.576565987654,18260.638786496707,19618.75826347555,20746.507371075782,22707.592771242726,22795.170129197715,13047.74174261388,24801.924043519644,27702.414571790523,23499.901646557708,34157.894429414526,33428.37443890017,35104.048952318786,33209.51184236161,36608.18830715418,34503.038788926286,33664.55510634685,43963.456809765456,45518.06522273532,43483.355617037196,19940.637638062133,19000.352431454445,20877.249363502844,21643.094784638804,21841.736846742166,21809.517125299426,21198.69289402151,31260.659233190276,2826.832178857442,4169.4437749427425,4337.883113395831,2078.8011094884228,905.8679105072547,3314.4455250175492
